year	count	main_term	sub_term
2020	1	COVID-19	GC-MS
2019	1	COVID-19	GC-MS
2004	1	Cardiovascular	NMR
2003	1	Cardiovascular	NMR
2006	1	Cardiovascular	LC-MS
2005	1	Cardiovascular	LC-MS
2006	1	Cardiovascular	GC-MS
2003	1	Cancer	NMR
2005	1	Cancer	LC-MS
2003	1	Cancer	LC-MS
2008	1	Inflammatory Bowel Disease	NMR
2013	1	Inflammatory Bowel Disease	LC-MS
2011	1	Inflammatory Bowel Disease	LC-MS
2010	1	Inflammatory Bowel Disease	LC-MS
2010	1	Inflammatory Bowel Disease	GC-MS
2006	1	Type 2 diabetes	NMR
2004	1	Type 2 diabetes	NMR
2007	1	Type 2 diabetes	LC-MS
2008	1	Type 2 diabetes	GC-MS
2007	1	Type 2 diabetes	GC-MS
2003	1	Adiposity	NMR
2006	1	Adiposity	GC-MS
2005	1	Adiposity	GC-MS
2006	1	Kidney disease	NMR
2005	1	Kidney disease	NMR
2004	1	Kidney disease	NMR
2003	1	Kidney disease	NMR
2010	1	Kidney disease	GC-MS
2008	1	Kidney disease	GC-MS
2007	1	Kidney disease	GC-MS
2010	1	Alzeimer's disease	LC-MS
2008	1	Alzeimer's disease	LC-MS
2012	1	Mental wellness	LC-MS
2011	1	Mental wellness	LC-MS
2008	1	Mental wellness	LC-MS
2009	1	Mental wellness	GC-MS
2007	2	Cardiovascular	LC-MS
2005	2	Cancer	NMR
2007	2	Cancer	GC-MS
2006	2	Cancer	GC-MS
2012	2	Inflammatory Bowel Disease	LC-MS
2011	2	Inflammatory Bowel Disease	GC-MS
2008	2	Type 2 diabetes	NMR
2007	2	Type 2 diabetes	NMR
2008	2	Type 2 diabetes	LC-MS
2006	2	Adiposity	NMR
2007	2	Adiposity	LC-MS
2007	2	Kidney disease	NMR
2007	2	Kidney disease	LC-MS
2013	2	Alzeimer's disease	NMR
2011	2	Alzeimer's disease	NMR
2011	2	Alzeimer's disease	LC-MS
2011	2	Alzeimer's disease	GC-MS
2011	2	Mental wellness	NMR
2009	2	Mental wellness	NMR
2008	2	Mental wellness	NMR
2009	2	Mental wellness	LC-MS
2011	2	Mental wellness	GC-MS
2006	3	Cardiovascular	NMR
2005	3	Cardiovascular	NMR
2008	3	Cardiovascular	GC-MS
2004	3	Cancer	NMR
2006	3	Cancer	LC-MS
2023	3	Inflammatory Bowel Disease	NMR
2016	3	Inflammatory Bowel Disease	LC-MS
2015	3	Inflammatory Bowel Disease	LC-MS
2020	3	Inflammatory Bowel Disease	GC-MS
2017	3	Inflammatory Bowel Disease	GC-MS
2015	3	Inflammatory Bowel Disease	GC-MS
2013	3	Inflammatory Bowel Disease	GC-MS
2010	3	Type 2 diabetes	LC-MS
2023	3	Type 2 diabetes	GC-MS
2010	3	Type 2 diabetes	GC-MS
2009	3	Type 2 diabetes	GC-MS
2008	3	Adiposity	NMR
2006	3	Adiposity	LC-MS
2008	3	Kidney disease	NMR
2015	3	Alzeimer's disease	NMR
2012	3	Alzeimer's disease	NMR
2010	3	Alzeimer's disease	NMR
2012	3	Alzeimer's disease	LC-MS
2009	3	Alzeimer's disease	LC-MS
2018	3	Alzeimer's disease	GC-MS
2013	3	Alzeimer's disease	GC-MS
2012	3	Alzeimer's disease	GC-MS
2010	3	Alzeimer's disease	GC-MS
2010	3	Mental wellness	LC-MS
2023	3	Mental wellness	GC-MS
2019	4	Inflammatory Bowel Disease	NMR
2012	4	Inflammatory Bowel Disease	NMR
2010	4	Inflammatory Bowel Disease	NMR
2009	4	Inflammatory Bowel Disease	NMR
2022	4	Inflammatory Bowel Disease	GC-MS
2021	4	Inflammatory Bowel Disease	GC-MS
2014	4	Inflammatory Bowel Disease	GC-MS
2011	4	Type 2 diabetes	NMR
2011	4	Type 2 diabetes	LC-MS
2011	4	Type 2 diabetes	GC-MS
2008	4	Adiposity	LC-MS
2013	4	Kidney disease	GC-MS
2023	4	Alzeimer's disease	LC-MS
2023	4	Alzeimer's disease	GC-MS
2017	4	Alzeimer's disease	GC-MS
2013	4	Mental wellness	LC-MS
2012	4	Mental wellness	GC-MS
2020	5	COVID-19	NMR
2021	5	COVID-19	GC-MS
2008	5	Cardiovascular	LC-MS
2014	5	Inflammatory Bowel Disease	LC-MS
2016	5	Inflammatory Bowel Disease	GC-MS
2010	5	Type 2 diabetes	NMR
2009	5	Type 2 diabetes	LC-MS
2010	5	Adiposity	NMR
2007	5	Adiposity	NMR
2010	5	Adiposity	GC-MS
2023	5	Kidney disease	GC-MS
2014	5	Alzeimer's disease	NMR
2008	5	Alzeimer's disease	NMR
2010	5	Mental wellness	GC-MS
2009	6	Cardiovascular	GC-MS
2007	6	Cancer	LC-MS
2008	6	Cancer	GC-MS
2021	6	Inflammatory Bowel Disease	NMR
2017	6	Inflammatory Bowel Disease	NMR
2015	6	Inflammatory Bowel Disease	NMR
2014	6	Inflammatory Bowel Disease	NMR
2011	6	Inflammatory Bowel Disease	NMR
2018	6	Inflammatory Bowel Disease	GC-MS
2012	6	Type 2 diabetes	LC-MS
2013	6	Type 2 diabetes	GC-MS
2012	6	Type 2 diabetes	GC-MS
2009	6	Kidney disease	LC-MS
2023	6	Alzeimer's disease	NMR
2022	6	Alzeimer's disease	GC-MS
2014	6	Mental wellness	LC-MS
2020	7	COVID-19	LC-MS
2023	7	COVID-19	GC-MS
2007	7	Cardiovascular	NMR
2018	7	Inflammatory Bowel Disease	NMR
